user,gender,age,part,moisture,minimum,maximum,range
15,Female,23,1,23,3,14,10
15,Female,23,2,31,7,37,25
15,Female,23,3,36,3,28,20
15,Female,23,4,25,3,38,30
15,Female,23,5,36,7,32,20
15,Female,23,6,41,5,35,25
14,Male,23,1,32,3,13,5
14,Male,23,2,32,12,18,0
14,Male,23,3,39,3,14,6
14,Male,23,4,39,7,12,0
14,Male,23,5,32,5,25,15
14,Male,23,6,36,2,13,5
16,Female,24,1,39,2,200,193
16,Female,24,2,35,2,52,50
16,Female,24,3,36,1,200,194
16,Female,24,4,32,2,200,197
16,Female,24,5,21,4,200,196
16,Female,24,6,60,1,200,194
17,Male,23,1,48,4,34,25
17,Male,23,2,38,2,40,38
17,Male,23,3,41,4,44,40
17,Male,23,4,60,7,52,45
17,Male,23,5,48,6,61,50
17,Male,23,6,41,5,71,60
13,Male,23,1,36,1,31,15
13,Male,23,2,35,2,200,192
13,Male,23,3,35,1,200,194
13,Male,23,4,35,8,200,185
13,Male,23,5,20,3,200,197
13,Male,23,6,32,1,200,189
12,Male,21,1,10,1,76,70
12,Male,21,2,10,1,21,15
12,Male,21,3,10,1,36,30
12,Male,21,4,12,1,31,25
12,Male,21,5,15,1,56,45
12,Male,21,6,10,1,21,15
10,Female,21,1,36,1,200,194
10,Female,21,2,32,1,111,95
10,Female,21,3,32,1,200,194
10,Female,21,4,36,3,200,181
10,Female,21,5,32,3,200,192
10,Female,21,6,36,3,200,183
11,Female,22,1,60,1,51,45
11,Female,22,2,32,1,31,20
11,Female,22,3,25,1,200,194
11,Female,22,4,39,1,200,189
11,Female,22,5,32,1,200,194
11,Female,22,6,10,1,200,179
9,Male,27,1,26,5,200,190
9,Male,27,2,20,4,200,186
9,Male,27,3,31,3,200,191
9,Male,27,5,10,31,197,130
9,Male,27,6,15,22,200,173
8,Female,22,1,10,14,16,-10
8,Female,22,2,10,2,13,5
8,Female,22,3,20,5,20,15
8,Female,22,4,32,9,58,45
8,Female,22,5,26,15,65,45
8,Female,22,6,32,1,41,35
5,Male,25,1,60,1,1,-10
5,Male,25,2,32,2,17,10
5,Male,25,3,31,2,7,0
5,Male,25,4,56,7,23,10
5,Male,25,5,25,3,17,10
5,Male,25,6,35,11,27,10
4,Male,19,1,35,10,200,179
4,Male,19,2,36,2,192,145
4,Male,19,3,46,2,200,158
4,Male,19,4,32,70,200,14
4,Male,19,5,40,6,200,188
4,Male,19,6,41,6,200,183
6,Male,25,1,60,2,152,95
6,Male,25,2,36,2,200,178
6,Male,25,3,32,2,200,178
6,Male,25,4,35,34,200,146
6,Male,25,5,32,5,200,159
6,Male,25,6,35,4,200,192
7,Male,21,1,36,7,200,183
7,Male,21,2,32,4,128,105
7,Male,21,3,36,2,43,25
7,Male,21,4,36,17,200,178
7,Male,21,5,15,4,200,191
7,Male,21,6,36,11,57,45
3,Male,25,1,36,1,11,-10
3,Male,25,2,32,3,200,117
3,Male,25,3,25,1,51,45
3,Male,25,4,19,10,200,177
3,Male,25,5,19,17,200,178
3,Male,25,6,25,3,200,193
2,Male,27,1,10,8,200,144
2,Male,27,2,10,2,77,70
2,Male,27,3,11,3,200,157
2,Male,27,4,39,27,199,170
2,Male,27,5,21,7,200,189
2,Male,27,6,10,7,200,184
1,Female,25,1,25,7,26,10
1,Female,25,2,34,3,28,5
1,Female,25,3,32,3,13,10
1,Female,25,4,37,6,57,25
1,Female,25,5,36,2,36,25
1,Female,25,6,32,2,27,15
20,Male,24,1,10,5,39,30
20,Male,24,2,16,3,33,25
20,Male,24,3,25,3,33,25
20,Male,24,4,25,4,49,40
20,Male,24,5,20,6,51,40
20,Male,24,6,33,3,48,40
19,Male,25,1,32,6,200,189
19,Male,25,2,10,6,200,189
19,Male,25,3,10,8,200,187
19,Male,25,4,10,18,200,177
19,Male,25,5,32,14,200,180
19,Male,25,6,32,10,200,190
18,Male,21,1,33,4,49,40
18,Male,21,2,10,10,65,50
18,Male,21,3,10,6,200,189
18,Male,21,4,15,7,200,193
18,Male,21,5,10,4,200,190
18,Male,21,6,26,4,200,191
